"HHID","WillingShareData_HCP2","Age","Education","CENSREG","RUC2003","Weight","WillingShareData_HCP2_numeric"
"72109689","Inapplicable, coded 2 in WearableDevTrackHealth2",30,"Some college","Midwest","County in metro area with 1 million population or more",140,NA
"72109693","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"College graduate","West","County in metro area with 1 million population or more",176,NA
"72109694","Inapplicable, coded 2 in WearableDevTrackHealth2",32,"College graduate","South","County in metro area of 250,000 to 1 million population",140,NA
"72109700","Question answered in error (Commission Error)",63,"College graduate","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",150,NA
"72109701","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"Postgraduate","South","County in metro area with 1 million population or more",225,NA
"72109705","Question answered in error (Commission Error)",70,"College graduate","Northeast","County in metro area with 1 million population or more",135,NA
"72109706","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"Less than 8 years","Northeast","County in metro area with 1 million population or more",170,NA
"72109717","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",200,NA
"72109718","Yes",28,"College graduate","West","County in metro area with 1 million population or more",135,1
"72109719","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Some college","South","County in metro area with 1 million population or more",162,NA
"72109731","No",31,"College graduate","Northeast","County in metro area of 250,000 to 1 million population",182,0
"72109734","Yes",67,"Some college","South","County in metro area with 1 million population or more",145,1
"72109747","Inapplicable, coded 2 in WearableDevTrackHealth2",49,"Postgraduate","West","County in metro area with 1 million population or more",180,NA
"72109748","Yes",32,"College graduate","South","County in metro area of 250,000 to 1 million population",160,1
"72109753","Inapplicable, coded 2 in WearableDevTrackHealth2",73,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",240,NA
"72109755","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"12 years or completed high school","West","County in metro area of fewer than 250,000 population",150,NA
"72109764","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"Some college","West","County in metro area of 250,000 to 1 million population",210,NA
"72109765","No",76,"College graduate","Midwest","County in metro area with 1 million population or more",152,0
"72109766","Yes",26,"8 through 11 years","Midwest","County in metro area with 1 million population or more",140,1
"72109767","Inapplicable, coded 2 in WearableDevTrackHealth2",25,"Some college","South","County in metro area with 1 million population or more",125,NA
"72109774","No",29,"Some college","South","County in metro area of 250,000 to 1 million population",180,0
"72109779","Yes",36,"12 years or completed high school","South","County in metro area with 1 million population or more",215,1
"72109781","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Some college","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",200,NA
"72109784","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"College graduate","South","County in metro area with 1 million population or more",160,NA
"72109785","Yes",48,"Some college","Midwest","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",192,1
"72109791","Inapplicable, coded 2 in WearableDevTrackHealth2",26,"Postgraduate","South","County in metro area with 1 million population or more",108,NA
"72109795","Inapplicable, coded 2 in WearableDevTrackHealth2",52,"College graduate","Midwest","County in metro area with 1 million population or more",176,NA
"72109797","Inapplicable, coded 2 in WearableDevTrackHealth2",18,"12 years or completed high school","Midwest","County in metro area of fewer than 250,000 population",270,NA
"72109798","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"College graduate","South","County in metro area with 1 million population or more",132,NA
"72109801","Inapplicable, coded 2 in WearableDevTrackHealth2",55,"Postgraduate","Northeast","County in metro area with 1 million population or more",155,NA
"72109804","Inapplicable, coded 2 in WearableDevTrackHealth2",-9,"Missing data (Not Ascertained)","South","County in metro area with 1 million population or more",105,NA
"72109808","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Some college","West","County in metro area with 1 million population or more",285,NA
"72109819","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"Post high school training other than college (vocational or technical)","West","County in metro area with 1 million population or more",245,NA
"72109826","Inapplicable, coded 2 in WearableDevTrackHealth2",19,"Some college","West","County in metro area with 1 million population or more",220,NA
"72109840","Question answered in error (Commission Error)",71,"12 years or completed high school","South","County in metro area with 1 million population or more",162,NA
"72109848","Yes",54,"College graduate","South","County in metro area with 1 million population or more",209,1
"72109856","No",60,"Some college","Northeast","County in metro area of 250,000 to 1 million population",127,0
"72109858","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"12 years or completed high school","South","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",172,NA
"72109874","Inapplicable, coded 2 in WearableDevTrackHealth2",39,"Some college","Northeast","County in metro area with 1 million population or more",299,NA
"72109881","Yes",70,"College graduate","Midwest","County in metro area with 1 million population or more",160,1
"72109888","Yes",40,"Postgraduate","Northeast","County in metro area with 1 million population or more",190,1
"72109892","Question answered in error (Commission Error)",67,"Postgraduate","West","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",135,NA
"72109893","Inapplicable, coded 2 in WearableDevTrackHealth2",35,"Some college","Midwest","Nonmetro county completely rural or less than 2,500 urban population, not adjace",145,NA
"72109894","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"12 years or completed high school","West","County in metro area with 1 million population or more",123,NA
"72109899","Yes",41,"8 through 11 years","South","County in metro area of fewer than 250,000 population",127,1
"72109901","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"College graduate","Northeast","County in metro area of fewer than 250,000 population",175,NA
"72109903","Yes",65,"College graduate","West","County in metro area with 1 million population or more",195,1
"72109904","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"College graduate","South","County in metro area of 250,000 to 1 million population",145,NA
"72109905","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"Postgraduate","South","County in metro area with 1 million population or more",160,NA
"72109906","Inapplicable, coded 2 in WearableDevTrackHealth2",86,"Some college","South","County in metro area with 1 million population or more",132,NA
"72109912","Inapplicable, coded 2 in WearableDevTrackHealth2",62,"12 years or completed high school","Midwest","County in metro area of 250,000 to 1 million population",170,NA
"72109913","Missing data (Filter Missing)",55,"12 years or completed high school","South","County in metro area of fewer than 250,000 population",215,NA
"72109918","Inapplicable, coded 2 in WearableDevTrackHealth2",22,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",209,NA
"72109924","Yes",74,"Some college","South","County in metro area of 250,000 to 1 million population",170,1
"72109926","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"12 years or completed high school","Northeast","County in metro area of 250,000 to 1 million population",185,NA
"72109930","Inapplicable, coded 2 in WearableDevTrackHealth2",73,"12 years or completed high school","Northeast","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",165,NA
"72109932","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"12 years or completed high school","West","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",150,NA
"72109938","No",32,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",175,0
"72109939","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"Less than 8 years","West","County in metro area with 1 million population or more",198,NA
"72109942","Yes",86,"Postgraduate","South","County in metro area with 1 million population or more",117,1
"72109949","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",300,NA
"72109961","Inapplicable, coded 2 in WearableDevTrackHealth2",40,"College graduate","South","Nonmetro county completely rural or less than 2,500 urban population, not adjace",255,NA
"72109963","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"College graduate","Northeast","County in metro area of 250,000 to 1 million population",255,NA
"72109965","Yes",59,"College graduate","South","County in metro area with 1 million population or more",146,1
"72109967","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"8 through 11 years","South","County in metro area of 250,000 to 1 million population",175,NA
"72109969","Inapplicable, coded 2 in WearableDevTrackHealth2",27,"12 years or completed high school","West","County in metro area of fewer than 250,000 population",140,NA
"72109971","Yes",65,"College graduate","South","County in metro area with 1 million population or more",185,1
"72109972","Inapplicable, coded 2 in WearableDevTrackHealth2",18,"Post high school training other than college (vocational or technical)","Northeast","County in metro area with 1 million population or more",150,NA
"72109977","Yes",68,"Postgraduate","West","County in metro area with 1 million population or more",193,1
"72109990","No",39,"Postgraduate","South","County in metro area with 1 million population or more",240,0
"72109996","Question answered in error (Commission Error)",-9,"College graduate","West","County in metro area of 250,000 to 1 million population",125,NA
"72110001","Missing data (Web partial - Question Never Seen)",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",-7,NA
"72110006","Yes",49,"College graduate","West","County in metro area with 1 million population or more",155,1
"72110009","Yes",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area of 250,000 to 1 million population",170,1
"72110021","Yes",55,"Postgraduate","Northeast","County in metro area of fewer than 250,000 population",122,1
"72110025","No",46,"Postgraduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",-9,0
"72110027","Question answered in error (Commission Error)",72,"Some college","South","County in metro area of fewer than 250,000 population",210,NA
"72110030","Yes",51,"College graduate","South","County in metro area with 1 million population or more",165,1
"72110036","Yes",58,"Some college","South","County in metro area of fewer than 250,000 population",317,1
"72110040","Yes",59,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",131,1
"72110043","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"Some college","Midwest","County in metro area of 250,000 to 1 million population",180,NA
"72110049","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"Postgraduate","West","County in metro area with 1 million population or more",99,NA
"72110051","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,NA
"72110065","Yes",67,"Postgraduate","West","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",160,1
"72110070","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Some college","Midwest","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",200,NA
"72110082","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"Post high school training other than college (vocational or technical)","Midwest","County in metro area of 250,000 to 1 million population",160,NA
"72110087","Yes",61,"College graduate","Midwest","County in metro area with 1 million population or more",180,1
"72110095","No",-7,"Missing data (Web partial - Question Never Seen)","Northeast","County in metro area with 1 million population or more",-7,0
"72110103","Question answered in error (Commission Error)",89,"Postgraduate","West","County in metro area of 250,000 to 1 million population",220,NA
"72110104","Missing data (Filter Missing)",86,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",200,NA
"72110111","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"Some college","West","County in metro area with 1 million population or more",170,NA
"72110114","Inapplicable, coded 2 in WearableDevTrackHealth2",26,"12 years or completed high school","West","County in metro area with 1 million population or more",175,NA
"72110123","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"12 years or completed high school","South","County in metro area of fewer than 250,000 population",135,NA
"72110128","Question answered in error (Commission Error)",78,"Post high school training other than college (vocational or technical)","Midwest","County in metro area of 250,000 to 1 million population",170,NA
"72110129","No",33,"College graduate","South","County in metro area of 250,000 to 1 million population",140,0
"72110139","Inapplicable, coded 2 in WearableDevTrackHealth2",26,"Post high school training other than college (vocational or technical)","South","County in metro area with 1 million population or more",173,NA
"72110149","Inapplicable, coded 2 in WearableDevTrackHealth2",69,"Some college","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",250,NA
"72110155","Inapplicable, coded 2 in WearableDevTrackHealth2",43,"College graduate","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",184,NA
"72110157","Yes",28,"Postgraduate","Midwest","County in metro area of 250,000 to 1 million population",115,1
"72110163","No",20,"Some college","Northeast","County in metro area of 250,000 to 1 million population",130,0
"72110167","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"Some college","South","County in metro area with 1 million population or more",143,NA
"72110182","Yes",64,"College graduate","South","County in metro area of fewer than 250,000 population",180,1
"72110188","Yes",48,"Postgraduate","South","County in metro area with 1 million population or more",-9,1
"72110189","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"12 years or completed high school","Midwest","County in metro area of fewer than 250,000 population",240,NA
"72110190","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Postgraduate","Midwest","County in metro area of 250,000 to 1 million population",200,NA
"72110194","Inapplicable, coded 2 in WearableDevTrackHealth2",34,"College graduate","South","County in metro area of 250,000 to 1 million population",150,NA
"72110197","No",42,"College graduate","South","County in metro area with 1 million population or more",212,0
"72110202","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"Postgraduate","West","County in metro area of 250,000 to 1 million population",150,NA
"72110206","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"12 years or completed high school","West","County in metro area with 1 million population or more",174,NA
"72110207","Inapplicable, coded 2 in WearableDevTrackHealth2",44,"12 years or completed high school","South","County in metro area with 1 million population or more",250,NA
"72110211","Yes",46,"Postgraduate","South","County in metro area with 1 million population or more",138,1
"72110214","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"Some college","South","County in metro area of 250,000 to 1 million population",99,NA
"72110219","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"Some college","Northeast","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",145,NA
"72110222","Yes",63,"12 years or completed high school","Midwest","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",170,1
"72110237","Inapplicable, coded 2 in WearableDevTrackHealth2",68,"Post high school training other than college (vocational or technical)","South","County in metro area of 250,000 to 1 million population",193,NA
"72110239","Inapplicable, coded 2 in WearableDevTrackHealth2",44,"Some college","West","County in metro area of 250,000 to 1 million population",150,NA
"72110240","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"College graduate","South","County in metro area with 1 million population or more",198,NA
"72110241","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"Some college","South","County in metro area with 1 million population or more",240,NA
"72110251","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"Some college","Midwest","County in metro area of 250,000 to 1 million population",208,NA
"72110252","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"College graduate","South","County in metro area with 1 million population or more",160,NA
"72110254","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"12 years or completed high school","South","County in metro area with 1 million population or more",198,NA
"72110255","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"Some college","Northeast","County in metro area with 1 million population or more",139,NA
"72110256","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"Postgraduate","West","County in metro area with 1 million population or more",225,NA
"72110266","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,NA
"72110269","Inapplicable, coded 2 in WearableDevTrackHealth2",45,"Postgraduate","Northeast","County in metro area with 1 million population or more",195,NA
"72110270","Inapplicable, coded 2 in WearableDevTrackHealth2",48,"Postgraduate","West","County in metro area with 1 million population or more",140,NA
"72110271","Inapplicable, coded 2 in WearableDevTrackHealth2",65,"8 through 11 years","Northeast","County in metro area of fewer than 250,000 population",168,NA
"72110278","Yes",46,"Postgraduate","Midwest","County in metro area of fewer than 250,000 population",160,1
"72110281","Inapplicable, coded 2 in WearableDevTrackHealth2",52,"Some college","South","County in metro area of fewer than 250,000 population",365,NA
"72110283","Inapplicable, coded 2 in WearableDevTrackHealth2",56,"College graduate","Northeast","County in metro area with 1 million population or more",197,NA
"72110290","Yes",49,"College graduate","Northeast","County in metro area with 1 million population or more",140,1
"72110291","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"College graduate","South","County in metro area of 250,000 to 1 million population",196,NA
"72110294","Inapplicable, coded 2 in WearableDevTrackHealth2",40,"Postgraduate","West","County in metro area with 1 million population or more",160,NA
"72110297","Question answered in error (Commission Error)",73,"Postgraduate","Northeast","County in metro area with 1 million population or more",265,NA
"72110302","Missing data (Filter Missing)",83,"Less than 8 years","Northeast","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",140,NA
"72110315","Inapplicable, coded 2 in WearableDevTrackHealth2",42,"College graduate","Northeast","County in metro area with 1 million population or more",280,NA
"72110318","Inapplicable, coded 2 in WearableDevTrackHealth2",83,"Some college","West","County in metro area of 250,000 to 1 million population",195,NA
"72110320","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"Some college","Northeast","County in metro area with 1 million population or more",175,NA
"72110323","Inapplicable, coded 2 in WearableDevTrackHealth2",64,"College graduate","Northeast","County in metro area of 250,000 to 1 million population",180,NA
"72110324","Question answered in error (Commission Error)",35,"12 years or completed high school","South","County in metro area with 1 million population or more",235,NA
"72110327","Inapplicable, coded 2 in WearableDevTrackHealth2",39,"Some college","Northeast","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",128,NA
"72110339","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"12 years or completed high school","Northeast","County in metro area with 1 million population or more",128,NA
"72110340","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"Some college","West","County in metro area of 250,000 to 1 million population",301,NA
"72110342","Question answered in error (Commission Error)",95,"8 through 11 years","South","County in metro area of fewer than 250,000 population",123,NA
"72110352","Yes",53,"Postgraduate","South","County in metro area with 1 million population or more",130,1
"72110355","Yes",57,"Some college","West","County in metro area with 1 million population or more",195,1
"72110359","Inapplicable, coded 2 in WearableDevTrackHealth2",47,"College graduate","Midwest","County in metro area with 1 million population or more",210,NA
"72110364","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"College graduate","West","County in metro area of fewer than 250,000 population",178,NA
"72110367","Yes",42,"College graduate","South","County in metro area with 1 million population or more",205,1
"72110371","Yes",37,"Some college","South","County in metro area with 1 million population or more",135,1
"72110375","Yes",73,"Post high school training other than college (vocational or technical)","West","County in metro area of fewer than 250,000 population",210,1
"72110381","Yes",22,"Some college","Northeast","County in metro area with 1 million population or more",115,1
"72110396","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area of 250,000 to 1 million population",230,NA
"72110402","Inapplicable, coded 2 in WearableDevTrackHealth2",54,"Some college","Midwest","County in metro area with 1 million population or more",360,NA
"72110405","Inapplicable, coded 2 in WearableDevTrackHealth2",51,"8 through 11 years","South","County in metro area of 250,000 to 1 million population",380,NA
"72110406","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"Postgraduate","South","County in metro area of 250,000 to 1 million population",135,NA
"72110408","Yes",76,"Post high school training other than college (vocational or technical)","Midwest","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",240,1
"72110416","Yes",38,"Postgraduate","South","County in metro area with 1 million population or more",135,1
"72110418","Yes",67,"Some college","Northeast","County in metro area with 1 million population or more",210,1
"72110419","Missing data (Not Ascertained)",-7,"Missing data (Web partial - Question Never Seen)","West","County in metro area of 250,000 to 1 million population",136,NA
"72110420","Inapplicable, coded 2 in WearableDevTrackHealth2",82,"12 years or completed high school","Northeast","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",182,NA
"72110422","Inapplicable, coded 2 in WearableDevTrackHealth2",63,"Some college","South","County in metro area of fewer than 250,000 population",-9,NA
"72110428","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"Some college","West","County in metro area with 1 million population or more",206,NA
"72110439","Inapplicable, coded 2 in WearableDevTrackHealth2",79,"Some college","Midwest","County in metro area of fewer than 250,000 population",155,NA
"72110441","Yes",62,"Some college","Northeast","County in metro area with 1 million population or more",251,1
"72110443","No",-9,"Missing data (Not Ascertained)","South","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",-9,0
"72110446","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"12 years or completed high school","Midwest","County in metro area of fewer than 250,000 population",283,NA
"72110447","Inapplicable, coded 2 in WearableDevTrackHealth2",78,"College graduate","South","County in metro area of 250,000 to 1 million population",160,NA
"72110448","Inapplicable, coded 2 in WearableDevTrackHealth2",74,"12 years or completed high school","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",177,NA
"72110457","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"College graduate","Midwest","County in metro area of fewer than 250,000 population",165,NA
"72110458","Inapplicable, coded 2 in WearableDevTrackHealth2",61,"Some college","Midwest","County in metro area with 1 million population or more",175,NA
"72110464","Inapplicable, coded 2 in WearableDevTrackHealth2",71,"12 years or completed high school","Northeast","County in metro area with 1 million population or more",120,NA
"72110465","Question answered in error (Commission Error)",83,"Postgraduate","Midwest","County in metro area with 1 million population or more",-9,NA
"72110467","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"12 years or completed high school","South","County in metro area with 1 million population or more",163,NA
"72110469","Yes",64,"Some college","Northeast","County in metro area with 1 million population or more",179,1
"72110470","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"12 years or completed high school","Midwest","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",140,NA
"72110482","Inapplicable, coded 2 in WearableDevTrackHealth2",24,"College graduate","West","Nonmetro county with urban population of 20,000 or more, not adjacent to a metro",150,NA
"72110486","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","Midwest","County in metro area with 1 million population or more",-7,NA
"72110487","Yes",45,"Postgraduate","South","County in metro area with 1 million population or more",160,1
"72110488","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"12 years or completed high school","South","Nonmetro county completely rural or less than 2,500 urban population, adjacent t",230,NA
"72110498","Inapplicable, coded 2 in WearableDevTrackHealth2",73,"College graduate","West","County in metro area with 1 million population or more",175,NA
"72110507","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",160,NA
"72110508","Inapplicable, coded 2 in WearableDevTrackHealth2",58,"Postgraduate","Northeast","County in metro area of 250,000 to 1 million population",165,NA
"72110516","Yes",53,"Postgraduate","Northeast","County in metro area with 1 million population or more",125,1
"72110520","Yes",51,"College graduate","South","County in metro area of 250,000 to 1 million population",170,1
"72110525","Yes",50,"College graduate","Midwest","County in metro area of fewer than 250,000 population",147,1
"72110530","Yes",65,"Some college","Midwest","County in metro area with 1 million population or more",150,1
"72110533","Inapplicable, coded 2 in WearableDevTrackHealth2",76,"College graduate","South","County in metro area with 1 million population or more",235,NA
"72110546","Inapplicable, coded 2 in WearableDevTrackHealth2",29,"College graduate","South","County in metro area with 1 million population or more",165,NA
"72110554","Yes",69,"Postgraduate","West","County in metro area of 250,000 to 1 million population",117,1
"72110555","Inapplicable, coded 2 in WearableDevTrackHealth2",94,"College graduate","South","County in metro area with 1 million population or more",167,NA
"72110560","Yes",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,1
"72110564","Yes",33,"College graduate","South","County in metro area with 1 million population or more",239,1
"72110565","Yes",46,"Some college","Midwest","County in metro area with 1 million population or more",175,1
"72110570","Inapplicable, coded 2 in WearableDevTrackHealth2",28,"Some college","Northeast","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",220,NA
"72110576","Inapplicable, coded 2 in WearableDevTrackHealth2",80,"College graduate","South","County in metro area with 1 million population or more",175,NA
"72110577","Yes",74,"Some college","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",205,1
"72110584","Inapplicable, coded 2 in WearableDevTrackHealth2",47,"College graduate","Midwest","County in metro area with 1 million population or more",160,NA
"72110588","Inapplicable, coded 2 in WearableDevTrackHealth2",70,"12 years or completed high school","West","County in metro area with 1 million population or more",170,NA
"72110605","Inapplicable, coded 2 in WearableDevTrackHealth2",53,"12 years or completed high school","Midwest","County in metro area with 1 million population or more",220,NA
"72110606","Inapplicable, coded 2 in WearableDevTrackHealth2",85,"College graduate","South","County in metro area with 1 million population or more",137,NA
"72110607","Question answered in error (Commission Error)",76,"Some college","Midwest","County in metro area with 1 million population or more",227,NA
"72110621","No",49,"College graduate","South","County in metro area of fewer than 250,000 population",189,0
"72110622","Inapplicable, coded 2 in WearableDevTrackHealth2",50,"12 years or completed high school","West","County in metro area with 1 million population or more",148,NA
"72110623","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"12 years or completed high school","West","County in metro area with 1 million population or more",230,NA
"72110627","Yes",37,"Postgraduate","South","County in metro area with 1 million population or more",186,1
"72110628","Inapplicable, coded 2 in WearableDevTrackHealth2",83,"Some college","West","County in metro area with 1 million population or more",180,NA
"72110631","Missing data (Filter Missing)",83,"Some college","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",150,NA
"72110633","Inapplicable, coded 2 in WearableDevTrackHealth2",89,"Some college","South","County in metro area with 1 million population or more",140,NA
"72110645","Yes",35,"Postgraduate","Northeast","County in metro area of 250,000 to 1 million population",195,1
"72110655","Question answered in error (Commission Error)",90,"Post high school training other than college (vocational or technical)","Northeast","County in metro area with 1 million population or more",100,NA
"72110663","Question answered in error (Commission Error)",95,"College graduate","South","County in metro area with 1 million population or more",-9,NA
"72110668","Yes",79,"College graduate","West","County in metro area with 1 million population or more",175,1
"72110674","Inapplicable, coded 2 in WearableDevTrackHealth2",73,"Postgraduate","West","Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro a",200,NA
"72110675","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area of 250,000 to 1 million population",-7,NA
"72110683","Inapplicable, coded 2 in WearableDevTrackHealth2",52,"Postgraduate","South","County in metro area with 1 million population or more",195,NA
"72110686","Yes",63,"Some college","Midwest","County in metro area of fewer than 250,000 population",175,1
"72110693","Inapplicable, coded 2 in WearableDevTrackHealth2",67,"Postgraduate","South","County in metro area of fewer than 250,000 population",170,NA
"72110697","No",49,"8 through 11 years","Northeast","County in metro area of 250,000 to 1 million population",190,0
"72110700","Yes",65,"Postgraduate","West","County in metro area of 250,000 to 1 million population",215,1
"72110701","Inapplicable, coded 2 in WearableDevTrackHealth2",72,"12 years or completed high school","West","County in metro area with 1 million population or more",200,NA
"72110708","Inapplicable, coded 2 in WearableDevTrackHealth2",30,"12 years or completed high school","West","County in metro area with 1 million population or more",130,NA
"72110709","Inapplicable, coded 2 in WearableDevTrackHealth2",20,"12 years or completed high school","South","Nonmetro county completely rural or less than 2,500 urban population, not adjace",260,NA
"72110712","Inapplicable, coded 2 in WearableDevTrackHealth2",55,"12 years or completed high school","South","County in metro area with 1 million population or more",175,NA
"72110716","Yes",40,"College graduate","West","County in metro area with 1 million population or more",133,1
"72110725","Inapplicable, coded 2 in WearableDevTrackHealth2",75,"Some college","West","County in metro area of 250,000 to 1 million population",170,NA
"72110727","Inapplicable, coded 2 in WearableDevTrackHealth2",60,"12 years or completed high school","Northeast","County in metro area of 250,000 to 1 million population",202,NA
"72110731","Yes",74,"12 years or completed high school","South","County in metro area of 250,000 to 1 million population",145,1
"72110733","No",-7,"Missing data (Web partial - Question Never Seen)","West","County in metro area with 1 million population or more",150,0
"72110740","Inapplicable, coded 2 in WearableDevTrackHealth2",59,"Postgraduate","Northeast","County in metro area with 1 million population or more",225,NA
"72110741","Yes",64,"12 years or completed high school","Midwest","Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area",177,1
"72110744","Inapplicable, coded 2 in WearableDevTrackHealth2",71,"Postgraduate","West","County in metro area of fewer than 250,000 population",158,NA
"72110749","Yes",63,"College graduate","South","County in metro area with 1 million population or more",180,1
"72110752","Inapplicable, coded 2 in WearableDevTrackHealth2",-7,"Missing data (Web partial - Question Never Seen)","South","County in metro area with 1 million population or more",-7,NA
"72110757","Inapplicable, coded 2 in WearableDevTrackHealth2",25,"Postgraduate","Northeast","County in metro area with 1 million population or more",185,NA
"72110764","Inapplicable, coded 2 in WearableDevTrackHealth2",77,"College graduate","Midwest","County in metro area of fewer than 250,000 population",215,NA
"72110765","Yes",42,"Post high school training other than college (vocational or technical)","South","Nonmetro county with urban population of 20,000 or more, adjacent to a metro are",230,1
"72110769","Inapplicable, coded 2 in WearableDevTrackHealth2",40,"Some college","Midwest","County in metro area of 250,000 to 1 million population",135,NA
